allocation_id,candidate_id,seat_id,exam_session_id,distance_from_preference_km
1,1,32744,1,0.0
2,2,3598,1,0.0
3,3,17531,1,0.0
4,4,30543,1,0.0
5,5,16140,1,0.0
6,6,23874,1,0.0
7,7,8186,1,0.0
8,8,20419,1,0.0
9,9,8098,1,0.0
10,10,29257,1,0.0
11,11,13619,1,0.0
12,12,3806,1,0.0
13,13,6496,1,0.0
14,14,11150,1,0.0
15,15,29031,1,0.0
16,16,11716,1,0.0
17,17,19536,1,0.0
18,18,17460,1,0.0
19,19,1957,1,0.0
20,20,27793,1,0.0
21,21,5802,1,0.0
22,22,27689,1,0.0
23,23,28344,1,0.0
24,24,19866,1,0.0
25,25,18107,1,0.0
26,26,20591,1,0.0
27,27,2841,1,0.0
28,28,5964,1,0.0
29,29,16590,1,0.0
30,30,32179,1,0.0
31,31,13874,1,0.0
32,32,6346,1,0.0
33,33,25613,1,0.0
34,34,6943,1,0.0
35,35,31851,1,0.0
36,36,8620,1,0.0
37,37,32421,1,0.0
38,38,8072,1,0.0
39,39,17249,1,0.0
40,40,32659,1,0.0
41,41,17677,1,0.0
42,42,26357,1,0.0
43,43,21557,1,0.0
44,44,2645,1,0.0
45,45,9623,1,0.0
46,46,19019,1,0.0
47,47,23644,1,0.0
48,48,19348,1,0.0
49,49,28014,1,0.0
50,50,31992,1,0.0
51,51,4804,1,0.0
52,52,4433,1,0.0
53,53,26223,1,0.0
54,54,2867,1,0.0
55,55,14845,1,0.0
56,56,18191,1,0.0
57,57,9311,1,0.0
58,58,18952,1,0.0
59,59,6638,1,0.0
60,60,1273,1,0.0
61,61,20055,1,0.0
62,62,18196,1,0.0
63,63,17816,1,0.0
64,64,26662,1,0.0
65,65,12840,1,0.0
66,66,15555,1,0.0
67,67,23810,1,0.0
68,68,5331,1,0.0
69,69,9965,1,0.0
70,70,12036,1,0.0
71,71,9153,1,0.0
72,72,24864,1,0.0
73,73,16978,1,0.0
74,74,8703,1,0.0
75,75,27715,1,0.0
76,76,28016,1,0.0
77,77,3061,1,0.0
78,78,18089,1,0.0
79,79,33129,1,0.0
80,80,24446,1,0.0
81,81,28797,1,0.0
82,82,30732,1,0.0
83,83,2505,1,0.0
84,84,6918,1,0.0
85,85,33185,1,0.0
86,86,26198,1,0.0
87,87,3166,1,0.0
88,88,27699,1,0.0
89,89,25044,1,0.0
90,90,18315,1,0.0
91,91,7791,1,0.0
92,92,9478,1,0.0
93,93,21251,1,0.0
94,94,18509,1,0.0
95,95,8332,1,0.0
96,96,2483,1,0.0
97,97,6152,1,0.0
98,98,21417,1,0.0
99,99,12297,1,0.0
100,100,26961,1,0.0
101,101,15620,1,0.0
102,102,7225,1,0.0
103,103,14550,1,0.0
104,104,3066,1,0.0
105,105,29317,1,0.0
106,106,11330,1,0.0
107,107,28406,1,0.0
108,108,25511,1,0.0
109,109,7901,1,0.0
110,110,17422,1,0.0
111,111,11613,1,0.0
112,112,2772,1,0.0
113,113,16820,1,0.0
114,114,15537,1,0.0
115,115,1246,1,0.0
116,116,10647,1,0.0
117,117,9644,1,0.0
118,118,17846,1,0.0
119,119,5990,1,0.0
120,120,29187,1,0.0
121,121,4513,1,0.0
122,122,10093,1,0.0
123,123,2162,1,0.0
124,124,1254,1,0.0
125,125,13129,1,0.0
126,126,10767,1,0.0
127,127,58,1,0.0
128,128,19979,1,0.0
129,129,1225,1,0.0
130,130,9221,1,0.0
131,131,30670,1,0.0
132,132,24600,1,0.0
133,133,20115,1,0.0
134,134,181,1,0.0
135,135,38,1,0.0
136,136,12060,1,0.0
137,137,8713,1,0.0
138,138,2845,1,0.0
139,139,2566,1,0.0
140,140,3714,1,0.0
141,141,21004,1,0.0
142,142,8336,1,0.0
143,143,3001,1,0.0
144,144,22973,1,0.0
145,145,11962,1,0.0
