biometric_log_id,candidate_id,capture_timestamp,device_id,match_score,match_status,retry_count
1,1.0,2026-05-03 09:41:00,DEV0374,71,match,0
2,2.0,2026-05-03 09:14:00,DEV0021,97,match,0
3,4.0,2026-05-03 09:33:00,DEV0260,78,match,0
4,5.0,2026-05-03 09:05:00,DEV0216,97,match,0
5,6.0,2026-05-03 09:32:00,DEV0288,79,match,0
6,7.0,2026-05-03 09:03:00,DEV0492,95,match,0
7,8.0,2026-05-03 09:37:00,DEV0343,86,match,0
8,9.0,2026-05-03 09:56:00,DEV0073,86,match,0
9,10.0,2026-05-03 09:15:00,DEV0171,76,match,0
10,11.0,2026-05-03 09:42:00,DEV0393,96,match,0
11,12.0,2026-05-03 09:11:00,DEV0076,95,match,0
12,13.0,2026-05-03 09:12:00,DEV0312,91,match,0
13,14.0,2026-05-03 09:00:00,DEV0373,71,match,0
14,15.0,2026-05-03 09:48:00,DEV0028,96,match,0
15,16.0,2026-05-03 09:23:00,DEV0170,79,match,0
16,18.0,2026-05-03 09:28:00,DEV0106,91,match,0
17,19.0,2026-05-03 09:06:00,DEV0088,84,match,0
18,20.0,2026-05-03 09:40:00,DEV0432,80,match,0
19,21.0,2026-05-03 09:14:00,DEV0424,87,match,0
20,22.0,2026-05-03 09:35:00,DEV0496,73,match,0
21,23.0,2026-05-03 09:04:00,DEV0390,98,match,0
22,24.0,2026-05-03 09:27:00,DEV0492,81,match,0
23,25.0,2026-05-03 09:18:00,DEV0065,72,match,0
24,26.0,2026-05-03 09:46:00,DEV0424,98,match,0
25,27.0,2026-05-03 09:17:00,DEV0401,78,match,0
26,28.0,2026-05-03 09:55:00,DEV0054,85,match,0
27,29.0,2026-05-03 09:39:00,DEV0378,94,match,0
28,30.0,2026-05-03 09:54:00,DEV0123,87,match,0
29,31.0,2026-05-03 09:51:00,DEV0348,76,match,0
30,32.0,2026-05-03 09:23:00,DEV0028,97,match,0
31,33.0,2026-05-03 09:06:00,DEV0014,82,match,0
32,34.0,2026-05-03 09:18:00,DEV0293,87,match,0
33,35.0,2026-05-03 09:00:00,DEV0339,70,match,0
34,36.0,2026-05-03 09:22:00,DEV0194,82,match,0
35,37.0,2026-05-03 09:30:00,DEV0063,98,match,0
36,38.0,2026-05-03 09:29:00,DEV0322,89,match,0
37,39.0,2026-05-03 09:31:00,DEV0121,93,match,0
38,40.0,2026-05-03 09:06:00,DEV0170,73,match,0
39,41.0,2026-05-03 09:56:00,DEV0191,79,match,0
40,42.0,2026-05-03 09:21:00,DEV0262,88,match,0
41,43.0,2026-05-03 09:16:00,DEV0404,90,match,0
42,44.0,2026-05-03 09:38:00,DEV0298,74,match,0
43,45.0,2026-05-03 09:34:00,DEV0268,83,match,0
44,46.0,2026-05-03 09:49:00,DEV0480,93,match,0
45,47.0,2026-05-03 09:29:00,DEV0262,71,match,0
46,49.0,2026-05-03 09:47:00,DEV0292,83,match,0
47,50.0,2026-05-03 09:53:00,DEV0001,92,match,0
48,51.0,2026-05-03 09:03:00,DEV0102,4,error,2
49,52.0,2026-05-03 09:00:00,DEV0336,92,match,0
50,53.0,2026-05-03 09:53:00,DEV0454,71,match,0
51,54.0,2026-05-03 09:35:00,DEV0023,99,match,0
52,55.0,2026-05-03 09:36:00,DEV0040,85,match,0
53,56.0,2026-05-03 09:50:00,DEV0238,85,match,0
54,57.0,2026-05-03 09:02:00,DEV0391,80,match,0
55,58.0,2026-05-03 09:31:00,DEV0167,75,match,0
56,59.0,2026-05-03 09:20:00,DEV0289,83,match,0
57,60.0,2026-05-03 09:53:00,DEV0167,49,no_match,2
58,61.0,2026-05-03 09:08:00,DEV0245,99,match,0
59,62.0,2026-05-03 09:11:00,DEV0141,89,match,0
60,64.0,2026-05-03 09:36:00,DEV0183,79,match,0
61,66.0,2026-05-03 09:46:00,DEV0475,86,match,0
62,67.0,2026-05-03 09:31:00,DEV0202,87,match,0
63,68.0,2026-05-03 09:28:00,DEV0003,82,match,0
64,69.0,2026-05-03 09:49:00,DEV0099,81,match,0
65,70.0,2026-05-03 09:18:00,DEV0296,93,match,0
66,71.0,2026-05-03 09:33:00,DEV0403,72,match,0
67,72.0,2026-05-03 09:26:00,DEV0031,84,match,0
68,73.0,2026-05-03 09:45:00,DEV0086,90,match,0
69,74.0,2026-05-03 09:18:00,DEV0230,85,match,0
70,75.0,2026-05-03 09:12:00,DEV0169,87,match,0
71,76.0,2026-05-03 09:04:00,DEV0120,96,match,0
72,77.0,2026-05-03 09:13:00,DEV0022,96,match,0
73,78.0,2026-05-03 09:33:00,DEV0341,76,match,0
74,79.0,2026-05-03 09:46:00,DEV0195,80,match,0
75,80.0,2026-05-03 09:51:00,DEV0265,84,match,0
76,81.0,2026-05-03 09:39:00,DEV0269,76,match,0
77,82.0,2026-05-03 09:09:00,DEV0342,72,match,0
78,83.0,2026-05-03 09:11:00,DEV0385,86,match,0
79,84.0,2026-05-03 09:37:00,DEV0047,92,match,0
80,86.0,2026-05-03 09:01:00,DEV0254,70,match,0
81,87.0,2026-05-03 09:19:00,DEV0439,99,match,0
82,88.0,2026-05-03 09:26:00,DEV0114,76,match,0
83,89.0,2026-05-03 09:53:00,DEV0190,79,match,0
84,90.0,2026-05-03 09:56:00,DEV0126,86,match,0
85,91.0,2026-05-03 09:01:00,DEV0285,70,match,0
86,92.0,2026-05-03 09:54:00,DEV0442,89,match,0
87,93.0,2026-05-03 09:04:00,DEV0010,90,match,0
88,94.0,2026-05-03 09:48:00,DEV0407,99,match,0
89,95.0,2026-05-03 09:22:00,DEV0340,97,match,0
90,96.0,2026-05-03 09:32:00,DEV0033,75,match,0
91,97.0,2026-05-03 09:30:00,DEV0215,99,match,0
92,99.0,2026-05-03 09:51:00,DEV0144,98,match,0
93,101.0,2026-05-03 09:46:00,DEV0305,86,match,0
94,102.0,2026-05-03 09:23:00,DEV0126,96,match,0
95,103.0,2026-05-03 09:07:00,DEV0141,96,match,0
96,104.0,2026-05-03 09:46:00,DEV0413,84,match,0
97,105.0,2026-05-03 09:57:00,DEV0087,89,match,0
98,106.0,2026-05-03 09:40:00,DEV0030,85,match,0
99,107.0,2026-05-03 09:58:00,DEV0372,82,match,0
100,108.0,2026-05-03 09:41:00,DEV0359,73,match,0
101,109.0,2026-05-03 09:40:00,DEV0389,93,match,0
102,110.0,2026-05-03 09:05:00,DEV0428,85,match,0
103,111.0,2026-05-03 09:28:00,DEV0102,77,match,0
104,112.0,2026-05-03 09:45:00,DEV0428,76,match,0
105,113.0,2026-05-03 09:15:00,DEV0291,84,match,0
106,115.0,2026-05-03 09:51:00,DEV0110,85,match,0
107,116.0,2026-05-03 09:15:00,DEV0344,88,match,0
108,117.0,2026-05-03 09:39:00,DEV0351,72,match,0
109,118.0,2026-05-03 09:10:00,DEV0002,84,match,0
