payment_id,application_id,transaction_ref,amount,gateway_name,payment_status,failure_reason,paid_at
1,1,TXN00000001979,1700.0,PayU,success,,2025-09-29 06:38:44.173244
2,2,TXN00000002195,1700.0,CCAvenue,success,,2025-12-24 08:57:35.012292
3,3,TXN00000003619,1700.0,CCAvenue,success,,2025-07-21 18:35:43.659417
4,4,TXN00000004600,1700.0,CCAvenue,success,,2025-09-13 08:58:43.269058
5,5,TXN00000005817,1700.0,PayU,success,,2025-11-03 19:50:43.981353
6,6,TXN00000006664,1700.0,Razorpay,success,,2025-10-01 15:22:38.211441
7,7,TXN00000007409,1700.0,CCAvenue,success,,2025-12-11 23:46:48.852340
8,8,TXN00000008684,1700.0,CCAvenue,success,,2025-11-26 23:54:21.469572
9,9,TXN00000009371,1700.0,Razorpay,success,,2025-08-17 11:31:51.633556
10,10,TXN00000010998,1700.0,Razorpay,success,,2025-08-11 05:30:27.534555
11,11,TXN00000011112,1700.0,Razorpay,success,,2025-12-12 07:55:34.732067
12,12,TXN00000012876,1700.0,CCAvenue,success,,2026-02-21 00:23:05.938548
13,13,TXN00000013810,1700.0,PayU,success,,2026-01-13 22:35:09.428144
14,14,TXN00000014316,1700.0,Razorpay,success,,2025-12-11 11:51:37.802734
15,15,TXN00000015340,1700.0,PayU,success,,2025-11-15 23:54:26.873922
16,16,TXN00000016483,1700.0,PayU,success,,2026-02-27 09:01:55.700078
17,17,TXN00000017818,1700.0,Razorpay,success,,2025-09-13 12:10:36.617227
18,18,TXN00000018757,1700.0,CCAvenue,success,,2026-04-07 14:41:57.000760
19,19,TXN00000019156,1700.0,Razorpay,success,,2026-03-09 00:19:36.130369
20,20,TXN00000020936,1700.0,PayU,success,,2026-03-02 21:38:07.658012
21,21,TXN00000021864,1700.0,Razorpay,success,,2025-11-09 22:07:07.063627
22,22,TXN00000022273,1700.0,PayU,success,,2025-09-09 18:46:12.695143
23,23,TXN00000023383,1700.0,CCAvenue,success,,2025-08-20 11:00:02.673356
24,24,TXN00000024783,1700.0,PayU,success,,2025-09-26 01:08:01.550881
25,25,TXN00000025269,1700.0,Razorpay,success,,2025-08-24 11:25:40.309618
26,26,TXN00000026588,1700.0,CCAvenue,success,,2026-03-16 03:28:07.027571
27,27,TXN00000027147,1700.0,Razorpay,success,,2025-11-08 19:14:45.370070
28,28,TXN00000028408,1700.0,Razorpay,success,,2025-10-19 13:03:46.358726
29,29,TXN00000029893,1700.0,Razorpay,success,,2025-07-26 16:58:58.446478
30,30,TXN00000030928,1700.0,Razorpay,success,,2026-02-18 13:09:54.742199
31,31,TXN00000031380,1700.0,CCAvenue,success,,2026-02-14 02:05:14.193314
32,32,TXN00000032829,1700.0,Razorpay,success,,2025-07-24 00:22:21.417905
33,33,TXN00000033408,1700.0,Razorpay,success,,2026-03-16 23:11:03.271194
34,34,TXN00000034393,1700.0,CCAvenue,success,,2026-03-21 20:51:16.520869
35,35,TXN00000035763,1700.0,PayU,success,,2025-07-23 03:36:12.779289
36,36,TXN00000036273,1700.0,PayU,success,,2025-11-19 20:20:45.233529
37,37,TXN00000037252,1700.0,Razorpay,success,,2025-12-16 09:20:00.969292
38,38,TXN00000038778,1700.0,Razorpay,success,,2025-08-22 06:54:35.291845
39,39,TXN00000039618,1700.0,CCAvenue,success,,2026-03-22 20:59:23.152103
40,40,TXN00000040927,1700.0,PayU,success,,2025-08-07 05:39:24.975386
41,41,TXN00000041979,1700.0,Razorpay,success,,2026-03-06 05:38:57.212159
42,42,TXN00000042157,1700.0,CCAvenue,success,,2025-09-15 11:03:42.649816
43,43,TXN00000043272,1700.0,PayU,success,,2026-01-16 17:58:12.825340
44,44,TXN00000044185,1700.0,CCAvenue,success,,2025-07-21 22:45:51.490020
45,45,TXN00000045420,1700.0,Razorpay,success,,2025-09-27 02:48:42.436154
46,46,TXN00000046905,1700.0,PayU,success,,2026-01-13 05:26:53.871936
47,47,TXN00000047636,1700.0,PayU,success,,2026-03-16 01:01:09.871139
48,48,TXN00000048794,1700.0,CCAvenue,success,,2025-12-21 10:41:43.159623
49,49,TXN00000049959,1700.0,CCAvenue,success,,2025-09-30 04:17:25.699852
50,50,TXN00000050463,1700.0,PayU,success,,2025-10-25 10:33:51.130967
51,51,TXN00000051204,1700.0,PayU,success,,2026-04-06 01:52:47.997272
52,52,TXN00000052504,1700.0,CCAvenue,success,,2025-12-07 22:52:29.583403
53,53,TXN00000053558,1700.0,CCAvenue,success,,2025-10-19 16:25:03.200150
54,54,TXN00000054832,1700.0,PayU,success,,2025-09-06 07:20:19.265062
55,55,TXN00000055163,1700.0,Razorpay,success,,2026-03-30 00:17:42.006482
56,56,TXN00000056925,1700.0,PayU,success,,2025-09-19 20:24:16.895591
57,57,TXN00000057839,1700.0,PayU,success,,2025-07-23 20:35:32.626176
58,58,TXN00000058107,1700.0,PayU,success,,2025-10-31 06:36:03.190054
59,59,TXN00000059102,1700.0,Razorpay,success,,2025-09-12 04:07:54.963077
60,60,TXN00000060226,1700.0,CCAvenue,success,,2026-03-13 10:40:09.289063
61,61,TXN00000061674,1700.0,PayU,success,,2025-12-14 20:48:34.140689
62,62,TXN00000062831,1700.0,CCAvenue,success,,2025-10-07 00:37:39.707659
63,63,TXN00000063123,1700.0,CCAvenue,success,,2026-02-03 14:05:11.907793
64,64,TXN00000064431,1700.0,PayU,success,,2026-02-02 08:39:20.058069
65,65,TXN00000065895,1700.0,Razorpay,success,,2025-11-06 21:22:09.810209
66,66,TXN00000066770,1700.0,PayU,success,,2025-11-04 11:17:28.115614
67,67,TXN00000067725,1700.0,Razorpay,success,,2025-07-19 15:16:16.993829
68,68,TXN00000068852,1700.0,CCAvenue,success,,2025-08-02 10:58:03.684321
69,69,TXN00000069221,1700.0,CCAvenue,success,,2026-02-20 16:49:59.770519
70,70,TXN00000070266,1700.0,Razorpay,success,,2026-04-16 23:08:55.203927
71,71,TXN00000071541,1700.0,Razorpay,success,,2025-09-19 03:19:55.022136
72,72,TXN00000072133,1700.0,CCAvenue,success,,2026-04-18 05:15:37.427156
73,73,TXN00000073423,1700.0,Razorpay,success,,2026-04-16 09:05:22.939051
74,74,TXN00000074716,1700.0,Razorpay,success,,2025-09-22 01:49:12.868560
75,75,TXN00000075312,1700.0,CCAvenue,success,,2026-02-19 15:03:06.169466
76,76,TXN00000076832,1700.0,Razorpay,success,,2026-03-29 15:10:43.278584
77,77,TXN00000077863,1700.0,PayU,success,,2025-09-02 16:41:51.562803
78,78,TXN00000078865,1700.0,PayU,success,,2025-09-11 22:46:10.714803
79,79,TXN00000079183,1700.0,CCAvenue,success,,2025-10-01 02:38:18.699614
80,80,TXN00000080170,1700.0,CCAvenue,success,,2026-04-18 05:18:32.598593
81,81,TXN00000081636,1700.0,Razorpay,success,,2025-11-18 22:16:45.368138
82,82,TXN00000082574,1700.0,CCAvenue,success,,2025-07-20 12:56:28.612278
83,83,TXN00000083491,1700.0,CCAvenue,success,,2026-04-05 03:02:08.237927
84,84,TXN00000084542,1700.0,CCAvenue,success,,2025-09-17 19:57:25.769663
85,85,TXN00000085147,1700.0,CCAvenue,success,,2025-10-10 17:44:38.427108
86,86,TXN00000086132,1700.0,PayU,success,,2025-10-26 11:50:20.412155
87,87,TXN00000087657,1700.0,PayU,success,,2026-04-05 18:17:48.931842
88,88,TXN00000088285,1700.0,PayU,success,,2025-11-02 14:03:36.821684
89,89,TXN00000089593,1700.0,PayU,success,,2025-07-21 10:23:45.995849
90,90,TXN00000090661,1700.0,CCAvenue,success,,2026-03-01 17:52:10.055589
91,91,TXN00000091743,1700.0,PayU,success,,2025-08-10 03:26:43.673671
92,92,TXN00000092574,1700.0,CCAvenue,success,,2025-11-13 02:35:56.635107
93,93,TXN00000093412,1700.0,PayU,success,,2026-04-13 05:40:56.134151
94,94,TXN00000094477,1700.0,Razorpay,success,,2025-12-12 19:36:00.755815
95,95,TXN00000095749,1700.0,Razorpay,success,,2025-10-29 01:34:59.208081
96,96,TXN00000096314,1700.0,Razorpay,success,,2026-02-04 05:24:50.831044
97,97,TXN00000097955,1700.0,PayU,success,,2025-09-18 16:16:36.463753
98,98,TXN00000098391,1700.0,PayU,success,,2025-07-29 02:51:47.529285
99,99,TXN00000099424,1700.0,Razorpay,success,,2025-07-31 02:17:25.650358
100,100,TXN00000100687,1700.0,Razorpay,success,,2026-02-11 12:40:58.187753
101,101,TXN00000101739,1700.0,PayU,success,,2025-08-09 17:36:07.806224
102,102,TXN00000102462,1700.0,PayU,success,,2025-11-16 17:24:03.450188
103,103,TXN00000103491,1700.0,Razorpay,success,,2025-11-08 05:56:43.233713
104,104,TXN00000104446,1700.0,Razorpay,success,,2025-09-26 17:18:48.846359
105,105,TXN00000105800,1700.0,CCAvenue,success,,2025-10-19 05:24:26.892702
106,106,TXN00000106851,1700.0,PayU,success,,2025-08-23 18:45:33.522074
107,107,TXN00000107490,1700.0,CCAvenue,success,,2025-10-03 15:03:29.870720
108,108,TXN00000108414,1700.0,CCAvenue,success,,2026-01-29 17:50:00.144439
109,109,TXN00000109742,1700.0,PayU,success,,2025-11-18 21:52:13.993693
110,110,TXN00000110787,1700.0,Razorpay,success,,2026-02-17 01:08:46.694999
111,111,TXN00000111901,1700.0,Razorpay,success,,2025-10-07 14:24:55.792598
112,112,TXN00000112523,1700.0,Razorpay,success,,2026-02-21 00:30:14.456242
113,113,TXN00000113984,1700.0,Razorpay,success,,2025-10-14 09:34:14.662058
114,114,TXN00000114251,1700.0,Razorpay,success,,2025-10-24 22:03:32.185990
