result_id,candidate_id,qualification_status
1,1,not_qualified
2,2,qualified
4,4,qualified
5,5,not_qualified
6,6,not_qualified
7,7,not_qualified
8,8,qualified
9,9,not_qualified
10,10,not_qualified
11,11,qualified
12,12,qualified
13,13,not_qualified
14,14,not_qualified
15,15,not_qualified
16,16,not_qualified
18,18,not_qualified
19,19,not_qualified
20,20,not_qualified
21,21,qualified
22,22,not_qualified
23,23,qualified
24,24,not_qualified
25,25,not_qualified
26,26,not_qualified
27,27,qualified
28,28,not_qualified
29,29,qualified
30,30,qualified
31,31,qualified
32,32,not_qualified
33,33,qualified
34,34,not_qualified
35,35,not_qualified
36,36,not_qualified
37,37,not_qualified
38,38,qualified
39,39,not_qualified
40,40,not_qualified
41,41,not_qualified
42,42,qualified
43,43,qualified
44,44,not_qualified
45,45,qualified
46,46,not_qualified
47,47,qualified
49,49,qualified
50,50,not_qualified
51,51,qualified
52,52,qualified
53,53,qualified
54,54,not_qualified
55,55,qualified
56,56,not_qualified
57,57,qualified
58,58,qualified
59,59,not_qualified
60,60,not_qualified
61,61,not_qualified
62,62,not_qualified
64,64,not_qualified
66,66,qualified
67,67,not_qualified
68,68,not_qualified
69,69,qualified
70,70,not_qualified
71,71,qualified
72,72,qualified
73,73,not_qualified
74,74,not_qualified
75,75,qualified
76,76,qualified
77,77,qualified
78,78,not_qualified
79,79,not_qualified
80,80,qualified
81,81,qualified
82,82,not_qualified
83,83,not_qualified
84,84,not_qualified
86,86,not_qualified
87,87,qualified
88,88,not_qualified
89,89,not_qualified
90,90,qualified
91,91,not_qualified
92,92,not_qualified
93,93,not_qualified
94,94,qualified
95,95,qualified
96,96,qualified
97,97,qualified
99,99,qualified
101,101,not_qualified
102,102,qualified
103,103,qualified
104,104,qualified
105,105,qualified
106,106,not_qualified
107,107,qualified
108,108,qualified
109,109,not_qualified
110,110,qualified
111,111,qualified
112,112,qualified
113,113,qualified
115,115,not_qualified
116,116,qualified
117,117,qualified
118,118,qualified
119,119,not_qualified
120,120,not_qualified
121,121,qualified
122,122,not_qualified
123,123,qualified
124,124,qualified
125,125,not_qualified
126,126,not_qualified
127,127,qualified
128,128,qualified
130,130,qualified
131,131,qualified
132,132,qualified
133,133,qualified
134,134,not_qualified
135,135,not_qualified
136,136,not_qualified
137,137,qualified
138,138,not_qualified
139,139,qualified
140,140,qualified
141,141,qualified
142,142,not_qualified
143,143,qualified
144,144,not_qualified
145,145,qualified
146,146,not_qualified
147,147,qualified
148,148,qualified
149,149,qualified
150,150,not_qualified
151,151,not_qualified
152,152,not_qualified
153,153,not_qualified
154,154,not_qualified
155,155,not_qualified
156,156,not_qualified
157,157,not_qualified
158,158,qualified
159,159,qualified
160,160,not_qualified
161,161,not_qualified
162,162,not_qualified
163,163,qualified
164,164,qualified
165,165,not_qualified
166,166,qualified
167,167,not_qualified
169,169,qualified
170,170,not_qualified
171,171,qualified
172,172,not_qualified
173,173,qualified
174,174,qualified
175,175,qualified
176,176,not_qualified
177,177,qualified
178,178,qualified
179,179,not_qualified
180,180,qualified
181,181,not_qualified
182,182,qualified
183,183,qualified
184,184,not_qualified
185,185,not_qualified
186,186,qualified
187,187,qualified
188,188,not_qualified
189,189,not_qualified
190,190,not_qualified
191,191,qualified
192,192,qualified
194,194,not_qualified
195,195,qualified
196,196,not_qualified
198,198,not_qualified
199,199,not_qualified
200,200,not_qualified
201,201,not_qualified
202,202,qualified
203,203,not_qualified
204,204,not_qualified
205,205,not_qualified
206,206,not_qualified
207,207,qualified
208,208,not_qualified
209,209,qualified
210,210,qualified
211,211,qualified
212,212,qualified
213,213,qualified
214,214,qualified
215,215,not_qualified
216,216,qualified
217,217,not_qualified
218,218,not_qualified
219,219,qualified
220,220,not_qualified
222,222,qualified
223,223,qualified
224,224,qualified
226,226,not_qualified
227,227,not_qualified
228,228,qualified
229,229,qualified
230,230,not_qualified
231,231,qualified
232,232,qualified
233,233,qualified
234,234,not_qualified
235,235,qualified
236,236,qualified
237,237,qualified
238,238,qualified
240,240,qualified
241,241,not_qualified
242,242,not_qualified
243,243,not_qualified
244,244,qualified
245,245,not_qualified
246,246,not_qualified
247,247,qualified
248,248,qualified
249,249,not_qualified
250,250,not_qualified
251,251,qualified
252,252,not_qualified
253,253,not_qualified
254,254,qualified
255,255,not_qualified
257,257,not_qualified
258,258,qualified
259,259,qualified
260,260,not_qualified
261,261,not_qualified
262,262,not_qualified
263,263,qualified
264,264,qualified
265,265,not_qualified
266,266,qualified
267,267,not_qualified
269,269,qualified
270,270,qualified
271,271,qualified
272,272,not_qualified
273,273,qualified
274,274,qualified
275,275,not_qualified
277,277,qualified
278,278,qualified
279,279,not_qualified
280,280,qualified
281,281,not_qualified
282,282,not_qualified
283,283,not_qualified
284,284,not_qualified
285,285,qualified
286,286,not_qualified
287,287,qualified
288,288,not_qualified
289,289,qualified
290,290,qualified
291,291,qualified
292,292,qualified
293,293,not_qualified
294,294,not_qualified
295,295,qualified
296,296,qualified
297,297,qualified
299,299,not_qualified
300,300,qualified
301,301,not_qualified
302,302,not_qualified
303,303,not_qualified
304,304,not_qualified
305,305,not_qualified
306,306,not_qualified
307,307,qualified
308,308,qualified
309,309,qualified
310,310,not_qualified
311,311,not_qualified
312,312,qualified
313,313,qualified
314,314,qualified
315,315,not_qualified
316,316,not_qualified
317,317,qualified
318,318,qualified
319,319,not_qualified
320,320,qualified
321,321,not_qualified
322,322,not_qualified
323,323,not_qualified
324,324,not_qualified
325,325,not_qualified
326,326,not_qualified
327,327,qualified
328,328,qualified
329,329,not_qualified
330,330,not_qualified
331,331,qualified
332,332,qualified
333,333,not_qualified
334,334,not_qualified
335,335,not_qualified
336,336,qualified
337,337,qualified
338,338,qualified
339,339,qualified
340,340,not_qualified
341,341,not_qualified
342,342,not_qualified
343,343,not_qualified
344,344,not_qualified
345,345,qualified
347,347,not_qualified
348,348,not_qualified
350,350,qualified
351,351,qualified
352,352,qualified
354,354,not_qualified
355,355,not_qualified
356,356,qualified
