score_id,candidate_id,physics_score,chemistry_score,biology_score,total_score,response_time_variance,changed_answer_correct_rate,question_paper_set_id,percentile,rank
1,1,105.2,64.2,75.8,245.1,12.02,0.218,3,39.24415501227714,11376
2,2,145.9,113.9,130.1,390.0,13.51,0.382,4,94.91566136436425,953
4,4,65.1,132.7,83.4,281.2,14.76,0.354,4,61.50048040994982,7208
5,5,92.1,57.2,85.1,234.5,10.78,0.309,3,32.65186292302765,12609
6,6,43.2,64.0,119.1,226.2,22.98,0.191,2,27.92249386142842,13498
7,7,100.4,38.7,97.3,236.3,8.04,0.145,3,33.71143375680581,12413
8,8,84.4,126.3,108.3,319.1,18.11,0.167,1,80.50603181381446,3649
9,9,15.0,12.1,93.0,120.1,10.56,0.114,1,0.9661577879790755,18554
10,10,66.2,78.4,71.9,216.5,24.27,0.386,3,22.982278210739832,14425
11,11,116.4,66.4,111.1,293.9,11.25,0.314,2,68.7439948756272,5851
12,12,94.9,60.0,108.8,263.7,22.73,0.172,3,50.90477207216825,9194
13,13,46.8,91.3,62.9,201.1,9.65,0.404,2,15.738763745062453,15784
14,14,94.9,94.3,45.6,234.8,11.61,0.326,4,32.878723177111134,12571
15,15,26.1,83.4,89.3,198.8,11.36,0.419,4,14.908722109533468,15940
16,16,66.7,134.7,58.9,260.2,19.74,0.413,1,48.72157574463542,9600
18,18,56.3,84.7,104.8,245.8,11.31,0.217,4,39.5884488096509,11312
19,19,139.7,40.2,25.4,205.3,14.08,0.295,4,17.641720935198034,15427
20,20,59.5,50.4,126.8,236.7,17.3,0.16,3,33.959645564214796,12367
21,21,85.1,82.1,116.6,283.8,12.67,0.335,3,63.019109640226326,6927
22,22,40.8,63.1,82.6,186.6,12.27,0.298,2,10.603715170278639,16744
23,23,141.6,70.1,122.7,334.4,14.36,0.265,1,85.84658908935626,2649
24,24,41.9,109.3,59.2,210.4,10.08,0.449,2,20.017081242660403,14980
25,25,44.3,98.9,0.0,143.3,15.03,0.328,2,2.530159069072275,18261
26,26,77.2,48.8,127.5,253.5,19.26,0.228,4,44.46460980036298,10399
27,27,123.2,98.2,61.2,282.6,19.05,0.112,3,62.30917049215331,7058
28,28,81.6,90.9,76.4,248.8,22.06,0.19,2,41.347283014839334,10983
29,29,166.3,37.3,121.3,324.8,20.09,0.421,3,82.61182876054232,3255
30,30,103.5,60.8,100.1,264.4,23.3,0.201,2,51.467919291128425,9086
31,31,163.2,150.4,155.1,468.8,2.26,0.913,1,99.05786270951211,177
32,32,134.5,35.0,63.0,232.4,14.69,0.369,4,31.397459165154263,12847
