seat_id,room_id,seat_row,seat_column,seat_number
1,1,1,1,S001
2,1,1,2,S002
3,1,1,3,S003
4,1,1,4,S004
5,1,1,5,S005
6,1,1,6,S006
7,1,2,1,S007
8,1,2,2,S008
9,1,2,3,S009
10,1,2,4,S010
11,1,2,5,S011
12,1,2,6,S012
13,1,3,1,S013
14,1,3,2,S014
15,1,3,3,S015
16,1,3,4,S016
17,1,3,5,S017
18,1,3,6,S018
19,1,4,1,S019
20,1,4,2,S020
21,1,4,3,S021
22,1,4,4,S022
23,1,4,5,S023
24,1,4,6,S024
25,1,5,1,S025
26,1,5,2,S026
27,1,5,3,S027
28,1,5,4,S028
29,1,5,5,S029
30,1,5,6,S030
31,2,1,1,S001
32,2,1,2,S002
33,2,1,3,S003
34,2,1,4,S004
35,2,1,5,S005
36,2,1,6,S006
37,2,2,1,S007
38,2,2,2,S008
39,2,2,3,S009
40,2,2,4,S010
41,2,2,5,S011
42,2,2,6,S012
43,2,3,1,S013
44,2,3,2,S014
45,2,3,3,S015
46,2,3,4,S016
47,2,3,5,S017
48,2,3,6,S018
49,2,4,1,S019
50,2,4,2,S020
51,2,4,3,S021
52,2,4,4,S022
53,2,4,5,S023
54,2,4,6,S024
55,2,5,1,S025
56,3,1,1,S001
57,3,1,2,S002
58,3,1,3,S003
59,3,1,4,S004
60,3,1,5,S005
61,3,1,6,S006
62,3,2,1,S007
63,3,2,2,S008
64,3,2,3,S009
65,3,2,4,S010
66,3,2,5,S011
67,3,2,6,S012
68,3,3,1,S013
69,3,3,2,S014
70,3,3,3,S015
71,3,3,4,S016
72,3,3,5,S017
73,3,3,6,S018
74,3,4,1,S019
75,3,4,2,S020
76,3,4,3,S021
77,3,4,4,S022
78,3,4,5,S023
79,3,4,6,S024
80,3,5,1,S025
81,4,1,1,S001
82,4,1,2,S002
83,4,1,3,S003
84,4,1,4,S004
85,4,1,5,S005
86,4,1,6,S006
87,4,2,1,S007
88,4,2,2,S008
89,4,2,3,S009
90,4,2,4,S010
91,4,2,5,S011
92,4,2,6,S012
93,4,3,1,S013
94,4,3,2,S014
95,4,3,3,S015
96,4,3,4,S016
97,4,3,5,S017
98,4,3,6,S018
99,4,4,1,S019
100,4,4,2,S020
101,4,4,3,S021
102,4,4,4,S022
103,4,4,5,S023
104,4,4,6,S024
105,4,5,1,S025
106,4,5,2,S026
107,4,5,3,S027
108,4,5,4,S028
109,4,5,5,S029
110,4,5,6,S030
111,4,6,1,S031
112,4,6,2,S032
113,4,6,3,S033
114,4,6,4,S034
115,4,6,5,S035
116,5,1,1,S001
117,5,1,2,S002
118,5,1,3,S003
119,5,1,4,S004
120,5,1,5,S005
121,5,1,6,S006
122,5,2,1,S007
123,5,2,2,S008
124,5,2,3,S009
125,5,2,4,S010
126,5,2,5,S011
127,5,2,6,S012
128,5,3,1,S013
129,5,3,2,S014
130,5,3,3,S015
131,5,3,4,S016
132,5,3,5,S017
133,5,3,6,S018
134,5,4,1,S019
135,5,4,2,S020
136,5,4,3,S021
137,5,4,4,S022
138,5,4,5,S023
139,5,4,6,S024
140,5,5,1,S025
141,6,1,1,S001
142,6,1,2,S002
143,6,1,3,S003
144,6,1,4,S004
145,6,1,5,S005
146,6,1,6,S006
147,6,2,1,S007
148,6,2,2,S008
149,6,2,3,S009
150,6,2,4,S010
151,6,2,5,S011
152,6,2,6,S012
153,6,3,1,S013
154,6,3,2,S014
155,6,3,3,S015
156,6,3,4,S016
157,6,3,5,S017
158,6,3,6,S018
159,6,4,1,S019
160,6,4,2,S020
161,6,4,3,S021
162,6,4,4,S022
163,6,4,5,S023
164,6,4,6,S024
165,6,5,1,S025
166,6,5,2,S026
167,6,5,3,S027
168,6,5,4,S028
169,6,5,5,S029
170,6,5,6,S030
171,6,6,1,S031
172,6,6,2,S032
173,6,6,3,S033
174,6,6,4,S034
175,6,6,5,S035
176,7,1,1,S001
177,7,1,2,S002
178,7,1,3,S003
179,7,1,4,S004
180,7,1,5,S005
181,7,1,6,S006
182,7,2,1,S007
183,7,2,2,S008
184,7,2,3,S009
185,7,2,4,S010
186,7,2,5,S011
187,7,2,6,S012
188,7,3,1,S013
189,7,3,2,S014
190,7,3,3,S015
191,7,3,4,S016
192,7,3,5,S017
193,7,3,6,S018
194,7,4,1,S019
195,7,4,2,S020
196,7,4,3,S021
197,7,4,4,S022
198,7,4,5,S023
199,7,4,6,S024
200,7,5,1,S025
201,7,5,2,S026
202,7,5,3,S027
203,7,5,4,S028
204,7,5,5,S029
205,7,5,6,S030
206,8,1,1,S001
207,8,1,2,S002
208,8,1,3,S003
209,8,1,4,S004
210,8,1,5,S005
211,8,1,6,S006
212,8,2,1,S007
213,8,2,2,S008
214,8,2,3,S009
215,8,2,4,S010
216,8,2,5,S011
217,8,2,6,S012
218,8,3,1,S013
219,8,3,2,S014
220,8,3,3,S015
221,8,3,4,S016
222,8,3,5,S017
223,8,3,6,S018
224,8,4,1,S019
225,8,4,2,S020
226,8,4,3,S021
227,8,4,4,S022
228,8,4,5,S023
229,8,4,6,S024
230,8,5,1,S025
231,9,1,1,S001
232,9,1,2,S002
233,9,1,3,S003
234,9,1,4,S004
235,9,1,5,S005
236,9,1,6,S006
237,9,2,1,S007
238,9,2,2,S008
239,9,2,3,S009
240,9,2,4,S010
241,9,2,5,S011
242,9,2,6,S012
243,9,3,1,S013
244,9,3,2,S014
245,9,3,3,S015
246,9,3,4,S016
247,9,3,5,S017
248,9,3,6,S018
249,9,4,1,S019
250,9,4,2,S020
251,9,4,3,S021
252,9,4,4,S022
253,9,4,5,S023
254,9,4,6,S024
255,9,5,1,S025
256,9,5,2,S026
257,9,5,3,S027
258,9,5,4,S028
259,9,5,5,S029
260,9,5,6,S030
261,10,1,1,S001
262,10,1,2,S002
263,10,1,3,S003
264,10,1,4,S004
265,10,1,5,S005
266,10,1,6,S006
267,10,2,1,S007
268,10,2,2,S008
269,10,2,3,S009
270,10,2,4,S010
271,10,2,5,S011
272,10,2,6,S012
273,10,3,1,S013
274,10,3,2,S014
275,10,3,3,S015
276,10,3,4,S016
277,10,3,5,S017
278,10,3,6,S018
279,10,4,1,S019
280,10,4,2,S020
281,10,4,3,S021
282,10,4,4,S022
283,10,4,5,S023
284,10,4,6,S024
285,10,5,1,S025
286,10,5,2,S026
287,10,5,3,S027
288,10,5,4,S028
289,10,5,5,S029
290,10,5,6,S030
291,10,6,1,S031
292,10,6,2,S032
293,10,6,3,S033
294,10,6,4,S034
295,10,6,5,S035
296,11,1,1,S001
297,11,1,2,S002
298,11,1,3,S003
299,11,1,4,S004
300,11,1,5,S005
301,11,1,6,S006
302,11,2,1,S007
303,11,2,2,S008
304,11,2,3,S009
305,11,2,4,S010
306,11,2,5,S011
307,11,2,6,S012
308,11,3,1,S013
309,11,3,2,S014
310,11,3,3,S015
311,11,3,4,S016
312,11,3,5,S017
313,11,3,6,S018
314,11,4,1,S019
315,11,4,2,S020
316,11,4,3,S021
317,11,4,4,S022
318,11,4,5,S023
319,11,4,6,S024
320,11,5,1,S025
321,11,5,2,S026
322,11,5,3,S027
323,11,5,4,S028
324,11,5,5,S029
325,11,5,6,S030
326,12,1,1,S001
327,12,1,2,S002
328,12,1,3,S003
329,12,1,4,S004
330,12,1,5,S005
331,12,1,6,S006
332,12,2,1,S007
333,12,2,2,S008
334,12,2,3,S009
335,12,2,4,S010
336,12,2,5,S011
337,12,2,6,S012
338,12,3,1,S013
339,12,3,2,S014
340,12,3,3,S015
341,12,3,4,S016
342,12,3,5,S017
343,12,3,6,S018
344,12,4,1,S019
345,12,4,2,S020
346,12,4,3,S021
347,12,4,4,S022
348,12,4,5,S023
349,12,4,6,S024
350,12,5,1,S025
351,12,5,2,S026
352,12,5,3,S027
353,12,5,4,S028
354,12,5,5,S029
355,12,5,6,S030
356,13,1,1,S001
357,13,1,2,S002
358,13,1,3,S003
359,13,1,4,S004
360,13,1,5,S005
361,13,1,6,S006
362,13,2,1,S007
363,13,2,2,S008
364,13,2,3,S009
365,13,2,4,S010
366,13,2,5,S011
367,13,2,6,S012
368,13,3,1,S013
369,13,3,2,S014
370,13,3,3,S015
371,13,3,4,S016
372,13,3,5,S017
373,13,3,6,S018
