center_id,xgb_risk_probability,top_factor_1,top_factor_2,top_factor_3
1,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
2,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
3,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
4,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
5,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
6,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
7,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
8,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
9,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
10,0.993,avg_score (+4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
11,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
12,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
13,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
14,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
15,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
16,0.993,avg_score (+4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
17,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
18,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
19,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
20,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
21,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
22,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
23,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
24,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
25,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
26,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
27,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
28,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
29,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
30,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
31,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
32,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
33,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
34,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
35,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
36,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
37,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
38,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
39,0.007,avg_score (-4.908),internet_reliability_score (+0.000),perimeter_security_rating (+0.000)
